2026-03-04T10:50:31Z [INFO] cryptotaxcalc.app: GET /api/v1/runs/2/events -> 200 in 0.017s
2026-03-04T10:50:31Z [INFO] cryptotaxcalc.app: GET /api/v1/runs/2/events -> 200 in 0.016s
2026-03-04T10:50:31Z [INFO] cryptotaxcalc.app: GET /api/v1/runs/2/events -> 200 in 0.016s
2026-03-04T10:50:31Z [INFO] cryptotaxcalc.app: GET /api/v1/runs/2/events -> 200 in 0.016s
2026-03-04T10:50:31Z [INFO] cryptotaxcalc.app: GET /api/v1/runs/2/events -> 200 in 0.017s
2026-03-04T10:50:31Z [INFO] cryptotaxcalc.app: GET /api/v1/runs/2/events -> 200 in 0.016s
2026-03-04T10:50:31Z [INFO] cryptotaxcalc.app: GET /api/v1/runs/2/events -> 200 in 0.016s
2026-03-04T10:50:31Z [INFO] cryptotaxcalc.app: GET /api/v1/runs/2/events -> 200 in 0.017s
2026-03-04T10:50:31Z [INFO] cryptotaxcalc.app: GET /api/v1/runs/2/events -> 200 in 0.016s
2026-03-04T10:50:31Z [INFO] cryptotaxcalc.app: GET /api/v1/runs/2/events -> 200 in 0.017s
2026-03-04T10:50:31Z [INFO] cryptotaxcalc.app: GET /api/v1/runs/2/events -> 200 in 0.017s
2026-03-04T10:50:31Z [INFO] cryptotaxcalc.app: GET /api/v1/runs/2/events -> 200 in 0.017s
2026-03-04T10:50:31Z [INFO] cryptotaxcalc.app: GET /api/v1/runs/2/events -> 200 in 0.017s
2026-03-04T10:50:31Z [INFO] cryptotaxcalc.app: GET /api/v1/runs/2/events -> 200 in 0.017s
2026-03-04T10:50:31Z [INFO] cryptotaxcalc.app: GET /api/v1/runs/2/events -> 200 in 0.017s
2026-03-04T10:50:31Z [INFO] cryptotaxcalc.app: GET /api/v1/runs/2/events -> 200 in 0.018s
2026-03-04T10:50:31Z [INFO] cryptotaxcalc.app: GET /api/v1/runs/2/events -> 200 in 0.019s
2026-03-04T10:50:31Z [INFO] cryptotaxcalc.app: GET /api/v1/runs/2/events -> 200 in 0.018s
2026-03-04T10:50:31Z [INFO] cryptotaxcalc.app: GET /api/v1/runs/2/events -> 200 in 0.017s
2026-03-04T10:50:31Z [INFO] cryptotaxcalc.app: GET /api/v1/runs/2/events -> 200 in 0.018s
2026-03-04T10:50:31Z [INFO] cryptotaxcalc.app: GET /api/v1/runs/2/events -> 200 in 0.018s
2026-03-04T10:50:31Z [INFO] cryptotaxcalc.app: GET /api/v1/runs/2/events -> 200 in 0.018s
2026-03-04T10:50:31Z [INFO] cryptotaxcalc.app: GET /api/v1/runs/2/events -> 200 in 0.019s
2026-03-04T10:50:31Z [INFO] cryptotaxcalc.app: GET /api/v1/runs/2/events -> 200 in 0.02s
2026-03-04T10:50:31Z [INFO] cryptotaxcalc.app: GET /api/v1/runs/2/events -> 200 in 0.021s
2026-03-04T10:50:31Z [INFO] cryptotaxcalc.app: GET /api/v1/runs/2/events -> 200 in 0.02s
2026-03-04T10:50:31Z [INFO] cryptotaxcalc.app: GET /api/v1/runs/2/events -> 200 in 0.02s
2026-03-04T10:50:31Z [INFO] cryptotaxcalc.app: GET /api/v1/runs/2/events -> 200 in 0.02s
2026-03-04T10:50:31Z [INFO] cryptotaxcalc.app: GET /api/v1/runs/2/events -> 200 in 0.02s
2026-03-04T10:50:31Z [INFO] cryptotaxcalc.app: GET /api/v1/runs/2/events -> 200 in 0.019s
2026-03-04T10:50:31Z [INFO] cryptotaxcalc.app: GET /api/v1/runs/2/events -> 200 in 0.02s
2026-03-04T10:50:31Z [INFO] cryptotaxcalc.app: GET /api/v1/runs/2/events -> 200 in 0.02s
2026-03-04T10:50:31Z [INFO] cryptotaxcalc.app: GET /api/v1/runs/2/events -> 200 in 0.02s
2026-03-04T10:50:31Z [INFO] cryptotaxcalc.app: GET /api/v1/runs/2/events -> 200 in 0.021s
2026-03-04T10:50:31Z [INFO] cryptotaxcalc.app: GET /api/v1/runs/2/events -> 200 in 0.02s
2026-03-04T10:50:31Z [INFO] cryptotaxcalc.app: GET /api/v1/runs/2/events -> 200 in 0.02s
2026-03-04T10:50:31Z [INFO] cryptotaxcalc.app: GET /api/v1/runs/2/events -> 200 in 0.026s
2026-03-04T10:50:32Z [INFO] cryptotaxcalc.app: GET /api/v1/runs/2/events -> 200 in 0.027s
2026-03-04T10:50:32Z [INFO] cryptotaxcalc.app: GET /api/v1/runs/2/events -> 200 in 0.028s
2026-03-04T10:50:32Z [INFO] cryptotaxcalc.app: GET /api/v1/runs/2/events -> 200 in 0.021s
2026-03-04T10:50:32Z [INFO] cryptotaxcalc.app: GET /api/v1/runs/2/events -> 200 in 0.023s
2026-03-04T10:50:32Z [INFO] cryptotaxcalc.app: GET /api/v1/runs/2/events -> 200 in 0.023s
2026-03-04T10:50:32Z [INFO] cryptotaxcalc.app: GET /api/v1/runs/2/events -> 200 in 0.022s
2026-03-04T10:50:32Z [INFO] cryptotaxcalc.app: GET /api/v1/runs/2/events -> 200 in 0.023s
2026-03-04T10:50:32Z [INFO] cryptotaxcalc.app: GET /api/v1/runs/2/events -> 200 in 0.022s
2026-03-04T10:50:32Z [INFO] cryptotaxcalc.app: GET /api/v1/runs/2/events -> 200 in 0.023s
2026-03-04T10:50:32Z [INFO] cryptotaxcalc.app: GET /api/v1/runs/2/events -> 200 in 0.023s
2026-03-04T10:50:32Z [INFO] cryptotaxcalc.app: GET /api/v1/runs/2/events -> 200 in 0.024s
2026-03-04T10:50:32Z [INFO] cryptotaxcalc.app: GET /api/v1/runs/2/events -> 200 in 0.024s
2026-03-04T10:50:32Z [INFO] cryptotaxcalc.app: GET /api/v1/runs/2/events -> 200 in 0.02s
2026-03-04T10:50:39Z [INFO] cryptotaxcalc.app: POST /export/workspace_summary/2.pdf/job -> 409 in 0.005s
